experiment,points,gen_time
1,100,0.017281770706176758
1,500,0.020203828811645508
1,1000,0.026239395141601562
1,5000,0.07011008262634277
1,10000,0.1310570240020752
1,50000,0.6292064189910889
1,100000,1.2529234886169434
1,500000,6.187516927719116
1,1000000,12.443338394165039
1,5000000,62.131245613098145
1,10000000,130.58656764030457
2,100,1.3240678310394287
2,500,0.026796579360961914
2,1000,0.025505781173706055
2,5000,0.07270193099975586
2,10000,0.1306612491607666
2,50000,0.5858752727508545
2,100000,1.147887945175171
2,500000,5.7779364585876465
2,1000000,12.022518634796143
2,5000000,64.96439909934998
2,10000000,136.842444896698
3,100,1.6010048389434814
3,500,0.02162003517150879
3,1000,0.028914928436279297
3,5000,0.07808828353881836
3,10000,0.14112401008605957
3,50000,0.6266911029815674
3,100000,1.2387852668762207
3,500000,6.2188639640808105
3,1000000,12.463540315628052
3,5000000,64.85537815093994
3,10000000,130.21229314804077
4,100,1.579491376876831
4,500,0.022713661193847656
4,1000,0.026095151901245117
4,5000,0.07311487197875977
4,10000,0.1341996192932129
4,50000,0.606337308883667
4,100000,1.1806190013885498
4,500000,6.013773679733276
4,1000000,11.79908275604248
4,5000000,61.62800073623657
4,10000000,134.1070306301117
5,100,1.7699337005615234
5,500,0.023862123489379883
5,1000,0.028704166412353516
5,5000,0.08294272422790527
5,10000,0.14243006706237793
5,50000,0.639336347579956
5,100000,1.2796542644500732
5,500000,6.844789028167725
5,1000000,13.395446062088013
5,5000000,66.93900346755981
5,10000000,137.81722736358643
6,100,1.715683937072754
6,500,0.0214693546295166
6,1000,0.02792668342590332
6,5000,0.07969331741333008
6,10000,0.13758587837219238
6,50000,0.6342215538024902
6,100000,1.2356066703796387
6,500000,6.12910532951355
6,1000000,12.395408391952515
6,5000000,64.60277509689331
6,10000000,134.3043670654297
7,100,1.7173922061920166
7,500,0.02354884147644043
7,1000,0.027071475982666016
7,5000,0.07701516151428223
7,10000,0.13765168190002441
7,50000,0.6104142665863037
7,100000,1.219550609588623
7,500000,6.135310411453247
7,1000000,12.362191200256348
7,5000000,64.53044581413269
7,10000000,133.42656469345093
8,100,1.8027141094207764
8,500,0.021473407745361328
8,1000,0.02794361114501953
8,5000,0.07679009437561035
8,10000,0.1367957592010498
8,50000,0.619030237197876
8,100000,1.2403132915496826
8,500000,6.171829700469971
8,1000000,12.460893392562866
8,5000000,65.74734139442444
8,10000000,131.52558183670044
9,100,1.7048521041870117
9,500,0.01971888542175293
9,1000,0.028051376342773438
9,5000,0.07628059387207031
9,10000,0.13381433486938477
9,50000,0.6096389293670654
9,100000,1.2205302715301514
9,500000,6.156237840652466
9,1000000,12.322942018508911
9,5000000,64.96601343154907
9,10000000,135.08822417259216
10,100,1.8308546543121338
10,500,0.01905989646911621
10,1000,0.024505138397216797
10,5000,0.07486772537231445
10,10000,0.126112699508667
10,50000,0.6023318767547607
10,100000,1.2184877395629883
10,500000,6.291990041732788
10,1000000,13.056266069412231
10,5000000,65.14946675300598
10,10000000,133.86647653579712
